,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
52970,21977607,삼천포횟집,Q03A01,128.543016941149,35.840064538807,대구광역시,달서구,본리동
56616,22066978,피쉬앤그릴,Q09A02,128.536422440398,35.807601142661,대구광역시,달서구,도원동
67034,26029280,고향곱창,Q01A03,128.574017088003,35.8362250293053,대구광역시,남구,대명동
10705,15964271,정지퓨전레스토랑,Q06A07,128.614043518893,35.8564782507752,대구광역시,수성구,수성동2가
11204,22775470,고향숯불막창,Q01A03,128.553198584888,35.855674160964,대구광역시,달서구,두류동
25826,16988532,헐커피,Q12A01,128.623886064056,35.8437279023306,대구광역시,수성구,황금동
82250,28147803,천지특허짬뽕,Q02A00,128.598485504379,35.8443978784312,대구광역시,남구,봉덕동
97689,18054181,신월성조개구이무한리필클램시,Q03A09,128.525197485042,35.8236403583766,대구광역시,달서구,월성동
58264,16490291,홍춘별관성서,Q02A00,128.479094959716,35.8537030925088,대구광역시,달서구,호산동
12903,25684815,영덕회대게,Q03A10,128.503921258582,35.8543586617214,대구광역시,달서구,이곡동
31118,17036651,추박사라면핫도그,Q07A03,128.629204361595,35.8779503938852,대구광역시,동구,신천동
83424,17251500,프라이스커피,Q12A01,128.600836758413,35.8449810207917,대구광역시,남구,봉덕동
54494,22134620,시애틀의잠못이루는밤,Q12A01,128.598120429496,35.8709617047047,대구광역시,중구,문화동
61125,16372420,신매뒷고기촌,Q01A02,128.710397572998,35.8375152497043,대구광역시,수성구,신매동
39248,16029460,가창한우식육식당,Q01A01,128.634924166981,35.789689568574,대구광역시,달성군,가창면
41075,25054214,혜동갈비,Q01A04,128.620852863172,35.8394623175462,대구광역시,수성구,두산동
2949,25875058,춘천닭갈비,Q05A02,128.414668836557,35.6530774178014,대구광역시,달성군,구지면
43752,15956997,온기정,Q01A01,128.748805324951,35.8726496965561,대구광역시,동구,대림동
36690,20349375,고향석쇠숯불막창,Q01A03,128.546651589849,35.8519185511397,대구광역시,달서구,감삼동
37291,12618977,카츄마마대구동촌점,Q01A01,128.651737469104,35.8815256597672,대구광역시,동구,효목동
91657,17887769,헤기,Q01A01,128.597308306344,35.8719391725557,대구광역시,중구,문화동
34423,17126810,큰맘할매순대국,Q10A05,128.518522093415,35.8046331634799,대구광역시,달서구,대곡동
80504,20311502,맛고,Q01A01,128.614317635958,35.8962971684035,대구광역시,북구,복현동
32014,17065278,유천골목식당,Q01A01,128.509492638459,35.8131803704772,대구광역시,달서구,유천동
17041,16718647,사랑갈비,Q01A02,128.534219895107,35.8421950482582,대구광역시,달서구,장기동
